timestamp,experiment,n_train,n_val,n_test,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
2026-04-08 13:47:31,Stratified_Balanced_Monthly,7281,600,804,1.2730847881733127,1.8114851294108036,0.9611447601056177,2.770893236354192,4.621798813545082,0.7850658964379821,2.751715556680432,4.679982338792036,0.7791842314635669
<<<<<<< HEAD
2026-04-08 14:52:42,Stratified_Balanced_Monthly,7281,600,804,1.2730847881733127,1.8114851294108036,0.9611447601056177,2.770893236354192,4.621798813545082,0.7850658964379821,2.751715556680432,4.679982338792036,0.7791842314635669
2026-04-08 16:10:25,Stratified_Balanced_Monthly,7281,600,804,1.2730847881733127,1.8114851294108036,0.9611447601056177,2.770893236354192,4.621798813545082,0.7850658964379821,2.751715556680432,4.679982338792036,0.7791842314635669
2026-04-08 16:17:44,Stratified_Balanced_Monthly,7281,600,804,1.2730847881733127,1.8114851294108036,0.9611447601056177,2.770893236354192,4.621798813545082,0.7850658964379821,2.751715556680432,4.679982338792036,0.7791842314635669
2026-04-08 16:23:34,Stratified_50_10_40,4352,862,3471,0.9976469136599645,1.4155933812430936,0.9767322278701752,2.7179811799328797,4.663879550992056,0.7314574821556554,2.764778136104761,4.568227827431428,0.7660629585439241
=======
2026-04-09 18:52:09,Stratified_Balanced_Monthly,7281,600,804,1.1390615554790304,1.624081483075926,0.9687682961583062,2.7922985996437073,4.644932724307151,0.7829088529829951,2.708652589492702,4.600836959397314,0.7865897169841645
>>>>>>> 8ac3cd42860b4459f07d0e38a2aec62120195521
2026-04-09 19:22:01,Stratified_50_10_40,4352,862,3471,0.9525677193175756,1.3360312507769725,0.9792742150011546,2.696381691426695,4.585824698917829,0.7403709388061672,2.7700855596337304,4.544878984933293,0.7684482162048349
2026-04-09 18:42:38,Stratified_50_10_40,4352,862,3471,0.9976469136599645,1.4155933812430936,0.9767322278701752,2.7179811799328797,4.663879550992056,0.7314574821556554,2.764778136104761,4.568227827431428,0.7660629585439241
