iteration,train_rmse,train_mae,train_r2,val_rmse,val_mae,val_r2
1,8.922533397843964,6.157620521919692,0.075612,8.699633260684342,6.14981190455762,0.065627
2,8.583311736837935,5.923119454042,0.144564,8.397043149258645,5.930767085878589,0.129495
3,8.275120271808035,5.7011020195615645,0.204892,8.12761898653276,5.728059856631639,0.18446
4,7.973782049310453,5.488747748601086,0.261745,7.863792092384787,5.538013256342948,0.236547
5,7.678980180994169,5.292592693777645,0.315324,7.639888771203091,5.361471061640162,0.279403
6,7.3991350583116455,5.098659849890015,0.364318,7.417922435390847,5.194504298079595,0.320667
7,7.138020180060294,4.920871285886011,0.408393,7.207736121778739,5.035103138527571,0.358619
8,6.891960984615875,4.751976305783233,0.448477,7.0132251827124445,4.88372276415681,0.392769
9,6.659536838556706,4.591525512911818,0.485049,6.842116985161411,4.743196110161164,0.422038
10,6.434418955865858,4.437239726731444,0.519275,6.6676043270245415,4.611027749397915,0.451144
11,6.219529000532191,4.291442086153171,0.550849,6.492347123789549,4.480083357983565,0.479618
12,6.014621409676419,4.153113590827322,0.579956,6.350145292094624,4.3679548958338055,0.502165
13,5.824396053348818,4.022321947576368,0.606106,6.210136347678956,4.256913325902757,0.523875
14,5.643616810401468,3.901759955648552,0.630178,6.079991015862764,4.153983530754833,0.543622
15,5.4737320735965165,3.7864474621327484,0.652108,5.963561627891557,4.060541938186522,0.560934
16,5.313448382231022,3.676666232592919,0.672184,5.853489444456445,3.971256126660482,0.576993
17,5.159040306031965,3.573760767138618,0.690959,5.75367725625316,3.89102225818103,0.591295
18,5.01077259353528,3.473158796372659,0.708467,5.659903538966384,3.8129305795284547,0.604509
19,4.884265928853334,3.3857184020144975,0.723002,5.5775095943049005,3.7431428410337584,0.61594
20,4.755418029916509,3.2967091766459977,0.737424,5.4960165464690345,3.674366294646208,0.627081
21,4.638315210517438,3.2174013879369285,0.750197,5.423869582037176,3.608535891066018,0.636807
22,4.525363912932618,3.140922356013428,0.762215,5.362927307420222,3.554708374072117,0.644923
23,4.4369608013403905,3.088083347196088,0.771414,5.33403639088299,3.5287532590658093,0.648739
24,4.328099988687072,3.0135394376976525,0.782493,5.271316041415022,3.4728391400069483,0.656951
25,4.227709252480498,2.9457087117411636,0.792467,5.218323139177135,3.427554294017517,0.663813
26,4.166656015022709,2.90675562203807,0.798417,5.20143535124044,3.4078171643192974,0.665986
27,4.06994822934328,2.842645360649947,0.807666,5.156977820066283,3.363154319765396,0.671671
28,3.9793622609942516,2.780901675194721,0.816133,5.108138455680508,3.317384406198205,0.677861
29,3.8942437643595644,2.72329491587794,0.823914,5.069244406654797,3.2780547850093265,0.682748
30,3.8133287711998745,2.6689779175007167,0.831156,5.030872421795559,3.2402694399561516,0.687532
31,3.744097317716195,2.6208478981793366,0.837231,5.001909303065786,3.2118488162963406,0.69112
32,3.676231007361878,2.575594476369374,0.843078,4.972385869810041,3.1822351847889805,0.694755
33,3.6120804407560847,2.531811592196498,0.848507,4.948486103272633,3.157571577555619,0.697683
34,3.5453622620016523,2.4898117035901284,0.854052,4.923899676307025,3.13183050103088,0.700679
35,3.4861892232766216,2.4495944845599724,0.858883,4.904318933709106,3.109694235701019,0.703055
36,3.4222955980523744,2.408304765656152,0.864008,4.883579292706018,3.0890272555661036,0.705561
37,3.368353103500259,2.372522654751425,0.868261,4.867381717914056,3.0683533015494557,0.707511
38,3.315437896855945,2.3361321464454865,0.872368,4.845108372552359,3.0477302555694936,0.710182
39,3.2598634716962476,2.3007141623426888,0.876611,4.826717321925166,3.0302154153516287,0.712378
40,3.210842098494397,2.268746353904991,0.880294,4.806807737889166,3.0130793051210745,0.714746
41,3.166142696508001,2.238206549520221,0.883604,4.791076212623485,2.9962226171781183,0.71661
42,3.1221190191517336,2.209887768744546,0.886818,4.785118741213392,2.9883424516620325,0.717314
43,3.0818527509246962,2.183117515681421,0.889719,4.772839358858867,2.973409194680765,0.718763
44,3.0421200272601525,2.1557916256270424,0.892544,4.761644012779059,2.9610003764004276,0.720081
45,3.002098777274903,2.1286112036391653,0.895353,4.753942682533976,2.950928282848367,0.720986
46,2.96070963456748,2.104190093300798,0.898218,4.748468514056031,2.9414310050121317,0.721628
47,2.9263603789184525,2.080560088952017,0.900566,4.7414757675639505,2.9310879335326,0.722447
48,2.8935167256624217,2.05853244738982,0.902786,4.746497920014511,2.9263629676847613,0.721859
49,2.8561199010691105,2.0348471285063114,0.905282,4.742312160551349,2.920482149671789,0.722349
50,2.829623590058216,2.0150963804027175,0.907032,4.73858193251148,2.9108610411807723,0.722786
51,2.798100816011573,1.9931864789961016,0.909091,4.730914396746296,2.9008522928452547,0.723682
52,2.764949858714406,1.9701127477592844,0.911233,4.727341907286182,2.89164021604299,0.7241
53,2.736252434350413,1.9505767519585788,0.913066,4.721818074601356,2.8837374067085246,0.724744
54,2.7099566557261308,1.9328334301381427,0.914729,4.7200130642661655,2.8807562514966714,0.724954
55,2.681366097296678,1.915025335517438,0.916519,4.7179010989273,2.875583164653203,0.7252
56,2.6616085536842404,1.9006445634945788,0.917744,4.712842678646831,2.8706538063190927,0.725789
57,2.6382778487385257,1.8844085274373783,0.91918,4.708791040132829,2.8655837221101375,0.726261
58,2.616725163233339,1.8691270236912019,0.920495,4.707981422329828,2.8599895056328473,0.726355
59,2.593936624376871,1.8534794907797785,0.921874,4.701081837527614,2.852931628924235,0.727156
60,2.57239734579085,1.8400874217040837,0.923166,4.705937417760792,2.8527181947867444,0.726592
61,2.545743263434481,1.822408936356249,0.92475,4.700080870908181,2.849419951992079,0.727272
